hhdi,add_line1,barangay,city,2112,province,PH,classification,remarks
120037,,MASANTOL,ORANI,2444,province,PH,,
120038,,MASANTOL,ORANI,2445,province,PH,,
120039,,MASANTOL,ORANI,2446,province,PH,,
120040,,MASANTOL,ORANI,2447,province,PH,,
120041,,MASANTOL,ORANI,2448,province,PH,,
120042,,MASANTOL,ORANI,2449,province,PH,,
120043,,MASANTOL,ORANI,2450,province,PH,,
130001,,MULAWIN,ORANI,2451,province,PH,,
130002,,MULAWIN,ORANI,2452,province,PH,,
130003,,MULAWIN,ORANI,2453,province,PH,,
130004,,MULAWIN,ORANI,2454,province,PH,,
130005,,MULAWIN,ORANI,2455,province,PH,,
130006,,MULAWIN,ORANI,2456,province,PH,,
130007,,MULAWIN,ORANI,2457,province,PH,,
130008,,MULAWIN,ORANI,2458,province,PH,,
130009,,MULAWIN,ORANI,2459,province,PH,,
130010,,MULAWIN,ORANI,2460,province,PH,,
130011,,MULAWIN,ORANI,2461,province,PH,,
130012,,MULAWIN,ORANI,2462,province,PH,,
130013,,MULAWIN,ORANI,2463,province,PH,,
130014,,MULAWIN,ORANI,2464,province,PH,,
130015,,MULAWIN,ORANI,2465,province,PH,,
130016,,MULAWIN,ORANI,2466,province,PH,,
130017,,MULAWIN,ORANI,2467,province,PH,,
130018,,MULAWIN,ORANI,2468,province,PH,,
130019,,MULAWIN,ORANI,2469,province,PH,,
130020,,MULAWIN,ORANI,2470,province,PH,,
130021,,MULAWIN,ORANI,2471,province,PH,,
130022,,MULAWIN,ORANI,2472,province,PH,,
130023,,MULAWIN,ORANI,2473,province,PH,,
130024,,MULAWIN,ORANI,2474,province,PH,,
130025,,MULAWIN,ORANI,2475,province,PH,,
130026,,MULAWIN,ORANI,2476,province,PH,,
130027,,MULAWIN,ORANI,2477,province,PH,,
130028,,MULAWIN,ORANI,2478,province,PH,,
130029,,MULAWIN,ORANI,2479,province,PH,,
130030,,MULAWIN,ORANI,2480,province,PH,,
130031,,MULAWIN,ORANI,2481,province,PH,,
130032,,MULAWIN,ORANI,2482,province,PH,,
130033,,MULAWIN,ORANI,2483,province,PH,,
130034,,MULAWIN,ORANI,2484,province,PH,,
130035,,MULAWIN,ORANI,2485,province,PH,,
130036,,MULAWIN,ORANI,2486,province,PH,,
130037,,MULAWIN,ORANI,2487,province,PH,,
130038,,MULAWIN,ORANI,2488,province,PH,,
130039,,MULAWIN,ORANI,2489,province,PH,,
130040,,MULAWIN,ORANI,2490,province,PH,,
130041,,MULAWIN,ORANI,2491,province,PH,,
130042,,MULAWIN,ORANI,2492,province,PH,,
130043,,MULAWIN,ORANI,2493,province,PH,,
130044,,MULAWIN,ORANI,2494,province,PH,,
130045,,MULAWIN,ORANI,2495,province,PH,,
130046,,MULAWIN,ORANI,2496,province,PH,,
130047,,MULAWIN,ORANI,2497,province,PH,,
130048,,MULAWIN,ORANI,2498,province,PH,,
130049,,MULAWIN,ORANI,2499,province,PH,,
130050,,MULAWIN,ORANI,2500,province,PH,,
130051,,MULAWIN,ORANI,2501,province,PH,,
130052,,MULAWIN,ORANI,2502,province,PH,,
130053,,MULAWIN,ORANI,2503,province,PH,,
130054,,MULAWIN,ORANI,2504,province,PH,,
130055,,MULAWIN,ORANI,2505,province,PH,,
130056,,MULAWIN,ORANI,2506,province,PH,,
130057,,MULAWIN,ORANI,2507,province,PH,,
130058,,MULAWIN,ORANI,2508,province,PH,,
130059,,MULAWIN,ORANI,2509,province,PH,,
130060,,MULAWIN,ORANI,2510,province,PH,,
130061,,MULAWIN,ORANI,2511,province,PH,,
130062,,MULAWIN,ORANI,2512,province,PH,,
130063,,MULAWIN,ORANI,2513,province,PH,,
130064,,MULAWIN,ORANI,2514,province,PH,,
130065,,MULAWIN,ORANI,2515,province,PH,,
130066,,MULAWIN,ORANI,2516,province,PH,,
130067,,MULAWIN,ORANI,2517,province,PH,,
130068,,MULAWIN,ORANI,2518,province,PH,,
130069,,MULAWIN,ORANI,2519,province,PH,,
130070,,MULAWIN,ORANI,2520,province,PH,,
130071,,MULAWIN,ORANI,2521,province,PH,,
130072,,MULAWIN,ORANI,2522,province,PH,,
130073,,MULAWIN,ORANI,2523,province,PH,,
130074,,MULAWIN,ORANI,2524,province,PH,,
130075,,MULAWIN,ORANI,2525,province,PH,,
130076,,MULAWIN,ORANI,2526,province,PH,,
130077,,MULAWIN,ORANI,2527,province,PH,,
130078,,MULAWIN,ORANI,2528,province,PH,,
130079,,MULAWIN,ORANI,2529,province,PH,,
130080,,MULAWIN,ORANI,2530,province,PH,,
130081,,MULAWIN,ORANI,2531,province,PH,,
130082,,MULAWIN,ORANI,2532,province,PH,,
130083,,MULAWIN,ORANI,2533,province,PH,,
130084,,MULAWIN,ORANI,2534,province,PH,,
130085,,MULAWIN,ORANI,2535,province,PH,,
130086,,MULAWIN,ORANI,2536,province,PH,,
130087,,MULAWIN,ORANI,2537,province,PH,,
130088,,MULAWIN,ORANI,2538,province,PH,,
130089,,MULAWIN,ORANI,2539,province,PH,,
130090,,MULAWIN,ORANI,2540,province,PH,,
130091,,MULAWIN,ORANI,2541,province,PH,,
130092,,MULAWIN,ORANI,2542,province,PH,,
130093,,MULAWIN,ORANI,2543,province,PH,,
130094,,MULAWIN,ORANI,2544,province,PH,,
130095,,MULAWIN,ORANI,2545,province,PH,,
130096,,MULAWIN,ORANI,2546,province,PH,,
130097,,MULAWIN,ORANI,2547,province,PH,,
130098,,MULAWIN,ORANI,2548,province,PH,,
130099,,MULAWIN,ORANI,2549,province,PH,,
130100,,MULAWIN,ORANI,2550,province,PH,,
130101,,MULAWIN,ORANI,2551,province,PH,,
130102,,MULAWIN,ORANI,2552,province,PH,,
130103,,MULAWIN,ORANI,2553,province,PH,,
130104,,MULAWIN,ORANI,2554,province,PH,,
130105,,MULAWIN,ORANI,2555,province,PH,,
130106,,MULAWIN,ORANI,2556,province,PH,,
130107,,MULAWIN,ORANI,2557,province,PH,,
130108,,MULAWIN,ORANI,2558,province,PH,,
130109,,MULAWIN,ORANI,2559,province,PH,,
130110,,MULAWIN,ORANI,2560,province,PH,,
130111,,MULAWIN,ORANI,2561,province,PH,,
130112,,MULAWIN,ORANI,2562,province,PH,,
130113,,MULAWIN,ORANI,2563,province,PH,,
130114,,MULAWIN,ORANI,2564,province,PH,,
130115,,MULAWIN,ORANI,2565,province,PH,,
130116,,MULAWIN,ORANI,2566,province,PH,,
130117,,MULAWIN,ORANI,2567,province,PH,,
130118,,MULAWIN,ORANI,2568,province,PH,,
130119,,MULAWIN,ORANI,2569,province,PH,,
130120,,MULAWIN,ORANI,2570,province,PH,,
130121,,MULAWIN,ORANI,2571,province,PH,,
130122,,MULAWIN,ORANI,2572,province,PH,,
130123,,MULAWIN,ORANI,2573,province,PH,,
130124,,MULAWIN,ORANI,2574,province,PH,,
130125,,MULAWIN,ORANI,2575,province,PH,,
130126,,MULAWIN,ORANI,2576,province,PH,,
130127,,MULAWIN,ORANI,2577,province,PH,,
130128,,MULAWIN,ORANI,2578,province,PH,,
130129,,MULAWIN,ORANI,2579,province,PH,,
130130,,MULAWIN,ORANI,2580,province,PH,,
130131,,MULAWIN,ORANI,2581,province,PH,,
130132,,MULAWIN,ORANI,2582,province,PH,,
130133,,MULAWIN,ORANI,2583,province,PH,,
130134,,MULAWIN,ORANI,2584,province,PH,,
130135,,MULAWIN,ORANI,2585,province,PH,,
130136,,MULAWIN,ORANI,2586,province,PH,,
130137,,MULAWIN,ORANI,2587,province,PH,,
130138,,MULAWIN,ORANI,2588,province,PH,,
130139,,MULAWIN,ORANI,2589,province,PH,,
130140,,MULAWIN,ORANI,2590,province,PH,,
130141,,MULAWIN,ORANI,2591,province,PH,,
130142,,MULAWIN,ORANI,2592,province,PH,,
130143,,MULAWIN,ORANI,2593,province,PH,,
130144,,MULAWIN,ORANI,2594,province,PH,,
130145,,MULAWIN,ORANI,2595,province,PH,,
130146,,MULAWIN,ORANI,2596,province,PH,,
150001,,PAGASA,ORANI,2597,province,PH,,
150002,,PAGASA,ORANI,2598,province,PH,,
150003,,PAGASA,ORANI,2599,province,PH,,
150004,,PAGASA,ORANI,2600,province,PH,,
150005,,PAGASA,ORANI,2601,province,PH,,
150006,,PAGASA,ORANI,2602,province,PH,,
150007,,PAGASA,ORANI,2603,province,PH,,
150008,,PAGASA,ORANI,2604,province,PH,,
